Time Opened,Time Closed,Asset,Direction,Entry Price,Exit Price,PnL %,Est PnL USD,Exit Reason,Held (mins),Entry RSI,Entry Trend,Strategy
2026-06-07T19:48:55.823375+00:00,2026-06-07T20:03:40.731321+00:00,BTC/USDT,long,61232.1,61426.8,0.318,97.35,take_profit,14.7,37.97,DOWN,16
2026-06-07T20:40:12.599728+00:00,2026-06-07T20:52:02.864507+00:00,BTC/USDT,long,61743.7,61958.8,0.3484,107.55,take_profit,11.8,32.76,DOWN,16
2026-06-07T21:05:42.561277+00:00,2026-06-07T21:12:51.744880+00:00,BTC/USDT,long,61740.1,61929.8,0.3073,94.85,take_profit,7.2,33.83,DOWN,16
2026-06-07T21:52:05.757024+00:00,2026-06-07T22:11:38.328216+00:00,BTC/USDT,long,61677.8,61934.5,0.4162,128.35,take_profit,19.5,37.8,DOWN,17
2026-06-07T22:50:03.971623+00:00,2026-06-07T22:55:18.862455+00:00,BTC/USDT,long,63170.2,62960.1,-0.3326,-105.05,stop_loss,5.2,37.92,UP,17
2026-06-07T23:40:05.062919+00:00,2026-06-08T00:05:09.690150+00:00,BTC/USDT,long,63205.7,63209.6,0.0062,1.95,time_exit,25.1,36.74,UP,17
2026-06-08T00:07:33.233929+00:00,2026-06-08T00:27:36.973895+00:00,BTC/USDT,long,63243.2,63501.6,0.4086,129.2,take_profit,20.1,33.78,UP,17
2026-06-08T00:53:09.890234+00:00,2026-06-08T00:57:05.184173+00:00,BTC/USDT,long,63781.7,63579.8,-0.3165,-100.95,stop_loss,3.9,33.65,UP,17
2026-06-08T01:05:03.222391+00:00,2026-06-08T01:13:27.701033+00:00,BTC/USDT,long,63375.1,63182.1,-0.3045,-96.5,stop_loss,8.4,37.96,DOWN,17
2026-06-08T01:15:09.491484+00:00,2026-06-08T01:26:01.647153+00:00,BTC/USDT,long,63047.0,62832.3,-0.3405,-107.35,stop_loss,10.9,31.36,DOWN,17
2026-06-08T02:10:36.076632+00:00,2026-06-08T02:35:40.755118+00:00,BTC/USDT,long,63024.6,63029.7,0.0081,2.55,time_exit,25.1,37.36,DOWN,17
2026-06-08T02:38:02.914420+00:00,2026-06-08T03:03:06.647691+00:00,BTC/USDT,long,63008.5,63069.2,0.0963,30.35,time_exit,25.1,37.04,DOWN,17
2026-06-08T03:35:07.751524+00:00,2026-06-08T04:00:11.106054+00:00,BTC/USDT,long,63195.8,63138.8,-0.0902,-28.5,time_exit,25.1,35.41,DOWN,17
2026-06-08T04:03:58.281976+00:00,2026-06-08T04:06:33.201470+00:00,BTC/USDT,long,63031.2,62814.1,-0.3444,-108.55,stop_loss,2.6,37.25,DOWN,17
2026-06-08T04:06:37.673728+00:00,2026-06-08T04:31:42.041724+00:00,BTC/USDT,long,62814.1,62895.6,0.1297,40.75,time_exit,25.1,32.18,DOWN,17
2026-06-08T05:48:21.865237+00:00,2026-06-08T06:00:28.433920+00:00,BTC/USDT,long,62546.1,62800.0,0.4059,101.56,take_profit,12.1,36.4,DOWN,18
2026-06-08T06:29:07.421551+00:00,2026-06-08T06:54:17.074480+00:00,BTC/USDT,long,63070.1,63007.4,-0.0994,-25.08,time_exit,25.2,37.31,UP,18
2026-06-08T06:55:07.003017+00:00,2026-06-08T07:20:10.689252+00:00,BTC/USDT,long,63010.9,63120.0,0.1731,43.64,time_exit,25.1,37.66,UP,18
2026-06-08T07:25:06.069124+00:00,2026-06-08T07:50:08.389980+00:00,BTC/USDT,long,63199.7,63327.1,0.2016,50.96,time_exit,25.0,37.16,UP,18
2026-06-08T08:02:02.736911+00:00,2026-06-08T08:27:05.214079+00:00,BTC/USDT,long,63130.8,63107.7,-0.0366,-9.24,time_exit,25.0,29.65,DOWN,18
2026-06-08T08:28:38.060333+00:00,2026-06-08T08:53:38.554113+00:00,BTC/USDT,long,63052.7,63086.4,0.0534,13.48,time_exit,25.0,36.22,DOWN,18
2026-06-08T08:54:54.277007+00:00,2026-06-08T09:16:41.821252+00:00,BTC/USDT,long,63087.9,63340.3,0.4001,100.96,take_profit,21.8,32.64,DOWN,18
2026-06-08T09:35:04.827221+00:00,2026-06-08T09:49:37.352360+00:00,BTC/USDT,long,63208.5,63473.8,0.4197,106.12,take_profit,14.5,35.05,DOWN,18
2026-06-08T10:20:03.208318+00:00,2026-06-08T10:45:08.201092+00:00,BTC/USDT,long,63242.8,63218.0,-0.0392,-9.92,time_exit,25.1,31.13,DOWN,18
2026-06-08T10:48:13.957195+00:00,2026-06-08T11:11:03.638954+00:00,BTC/USDT,long,63145.8,63437.8,0.4624,116.8,take_profit,22.8,34.42,DOWN,18
2026-06-08T11:35:03.309503+00:00,2026-06-08T11:38:07.476434+00:00,BTC/USDT,long,63592.2,63866.4,0.4312,109.68,take_profit,3.1,34.98,UP,18
2026-06-08T11:50:03.002018+00:00,2026-06-08T12:01:47.893172+00:00,BTC/USDT,long,63512.8,63313.2,-0.3143,-79.84,stop_loss,11.7,37.25,DOWN,18
2026-06-08T12:03:24.396694+00:00,2026-06-08T12:07:06.952621+00:00,BTC/USDT,long,63272.8,62941.2,-0.5241,-132.64,stop_loss,3.7,30.66,DOWN,18
2026-06-08T12:08:27.188005+00:00,2026-06-08T12:20:14.317081+00:00,BTC/USDT,long,63041.4,62850.0,-0.3036,-76.56,stop_loss,11.8,32.78,DOWN,18
2026-06-08T13:15:06.178519+00:00,2026-06-08T13:27:47.284949+00:00,BTC/USDT,long,63793.1,63600.1,-0.3025,-77.2,stop_loss,12.7,36.54,DOWN,18
2026-06-08T13:32:10.485822+00:00,2026-06-08T13:36:06.765709+00:00,BTC/USDT,long,63437.5,63760.1,0.5085,129.04,take_profit,3.9,36.54,DOWN,18
2026-06-08T14:39:53.348753+00:00,2026-06-08T15:04:57.175616+00:00,BTC/USDT,long,63842.0,63976.8,0.2111,53.92,time_exit,25.1,40.57,UP,19
